Timestamp,Endpoint,Allocated Memory (bytes),Total Allocated Memory (bytes),System Memory (bytes),Garbage Collections,Elapsed Time,CPU Usage (%),Memory Usage (KB)
2025-02-25T22:37:14+05:30,/item/last,21214592,41577160,59396096,9,8.521ms,100.00,17100584.00
2025-02-25T22:37:14+05:30,/item/last,21228496,41591064,59396096,9,1.0706ms,100.00,17102908.00
2025-02-25T22:37:14+05:30,/item/last,21242200,41604768,59396096,9,3.5046ms,100.00,17108952.00
2025-02-25T22:37:14+05:30,/item/last,21267672,41630240,59396096,9,0s,100.00,17112624.00
2025-02-25T22:37:14+05:30,/item/last,21274280,41636848,59396096,9,1.4702ms,100.00,17113044.00
2025-02-25T22:37:14+05:30,/item/last,21282152,41644720,59396096,9,8.4943ms,100.00,17118948.00
2025-02-25T22:37:14+05:30,/item/last,21300672,41663240,59396096,9,3.8883ms,86.36,17149264.00
2025-02-25T22:37:14+05:30,/item/last,21318856,41681424,59396096,9,6.0197ms,100.00,17152400.00
2025-02-25T22:37:14+05:30,/item/last,21333080,41695648,59396096,9,1.0024ms,100.00,17152400.00
2025-02-25T22:37:14+05:30,/item/last,21339800,41702368,59396096,9,503.2µs,100.00,17152852.00
2025-02-25T22:37:14+05:30,/item/last,21354696,41717264,59396096,9,504.2µs,100.00,17154328.00
2025-02-25T22:37:15+05:30,/item/last,21373288,41735856,59396096,9,9.1944ms,100.00,17156068.00
2025-02-25T22:37:15+05:30,/item/last,21392536,41755104,59396096,9,999.9µs,100.00,17157380.00
2025-02-25T22:37:15+05:30,/item/last,21415776,41778344,59396096,9,0s,100.00,17158816.00
2025-02-25T22:37:15+05:30,/item/last,21424552,41787120,59396096,9,504.7µs,100.00,17165936.00
2025-02-25T22:37:15+05:30,/item/last,21440120,41802688,59396096,9,23.1268ms,100.00,17166028.00
2025-02-25T22:37:15+05:30,/item/last,21432536,41795104,59396096,9,4.7529ms,0.00,17166012.00
2025-02-25T22:37:15+05:30,/item/last,21452144,41814712,59396096,9,5.914ms,100.00,17167256.00
2025-02-25T22:37:15+05:30,/item/last,21461624,41824192,59396096,9,8.9078ms,100.00,17167668.00
2025-02-25T22:37:15+05:30,/item/last,21480368,41842936,59396096,9,643.6µs,100.00,17169252.00
2025-02-25T22:37:15+05:30,/item/last,21489000,41851568,59396096,9,9.3036ms,100.00,17171644.00
2025-02-25T22:37:15+05:30,/item/last,21513640,41876208,59396096,9,0s,0.00,17172032.00
2025-02-25T22:37:15+05:30,/item/last,21521624,41884192,59396096,9,2.3833ms,100.00,17172784.00
2025-02-25T22:37:15+05:30,/item/last,21528920,41891488,59396096,9,4.266ms,0.00,17172944.00
2025-02-25T22:37:15+05:30,/item/last,21549624,41912192,59396096,9,4.7376ms,100.00,17174652.00
2025-02-25T22:37:15+05:30,/item/last,21556480,41919048,59396096,9,2ms,0.00,17174652.00
2025-02-25T22:37:15+05:30,/item/last,21576920,41939488,59396096,9,0s,100.00,17178384.00
2025-02-25T22:37:15+05:30,/item/last,21583528,41946096,59396096,9,27.0396ms,100.00,17178452.00
2025-02-25T22:37:15+05:30,/item/last,21597824,41960392,59396096,9,972.7µs,100.00,17179768.00
2025-02-25T22:37:15+05:30,/item/last,21612048,41974616,59396096,9,2.3428ms,100.00,17189908.00
2025-02-25T22:37:15+05:30,/item/last,21649352,42011920,59396096,9,20.5527ms,100.00,17193036.00
2025-02-25T22:37:15+05:30,/item/last,21642744,42005312,59396096,9,0s,0.00,17193036.00
2025-02-25T22:37:15+05:30,/item/last,21660640,42023208,59396096,9,11.8345ms,100.00,17193812.00
2025-02-25T22:37:15+05:30,/item/last,21676168,42038736,59396096,9,0s,100.00,17195164.00
2025-02-25T22:37:15+05:30,/item/last,21689504,42052072,59396096,9,11.8028ms,100.00,17198548.00
2025-02-25T22:37:15+05:30,/item/last,21702200,42064768,59396096,9,0s,100.00,17212508.00
2025-02-25T22:37:15+05:30,/item/last,21711952,42074520,59396096,9,998.9µs,100.00,17218108.00
2025-02-25T22:37:15+05:30,/item/last,21719264,42081832,59396096,9,13.5042ms,100.00,17220764.00
2025-02-25T22:37:15+05:30,/item/last,21739056,42101624,59396096,9,6.0199ms,100.00,17229648.00
2025-02-25T22:37:15+05:30,/item/last,21746888,42109456,59396096,9,3.3696ms,100.00,17230768.00
2025-02-25T22:37:15+05:30,/item/last,21770880,42133448,59396096,9,2.6574ms,100.00,17231680.00
2025-02-25T22:37:15+05:30,/item/last,21779240,42141808,59396096,9,5.7914ms,100.00,17232252.00
2025-02-25T22:37:15+05:30,/item/last,21787112,42149680,59396096,9,0s,100.00,17239544.00
2025-02-25T22:37:15+05:30,/item/last,21800584,42163152,59396096,9,2.0018ms,100.00,17242480.00
2025-02-25T22:37:15+05:30,/item/last,21814872,42177440,59396096,9,3.6219ms,100.00,17242264.00
2025-02-25T22:37:15+05:30,/item/last,21832960,42195528,59396096,9,6.8087ms,100.00,17242348.00
2025-02-25T22:37:15+05:30,/item/last,21842048,42204616,59396096,9,1.0723ms,100.00,17242796.00
2025-02-25T22:37:15+05:30,/item/last,21855768,42218336,59396096,9,623.4µs,100.00,17247568.00
2025-02-25T22:37:15+05:30,/item/last,21873320,42235888,59396096,9,5.6896ms,100.00,17246400.00
2025-02-25T22:37:15+05:30,/item/last,21891376,42253944,59396096,9,1.1146ms,100.00,17251540.00
2025-02-25T22:37:15+05:30,/item/last,21900136,42262704,59396096,9,1.4256ms,100.00,17252800.00
2025-02-25T22:37:15+05:30,/item/last,21919688,42282256,59396096,9,0s,100.00,17254108.00
2025-02-25T22:37:16+05:30,/item/last,21927000,42289568,59396096,9,14.2267ms,100.00,17256216.00
2025-02-25T22:37:16+05:30,/item/last,21940472,42303040,59396096,9,14.4996ms,100.00,17263724.00
2025-02-25T22:37:16+05:30,/item/last,21953944,42316512,59396096,9,9.485ms,100.00,17268632.00
2025-02-25T22:37:16+05:30,/item/last,21967400,42329968,59396096,9,826.4µs,0.00,17270148.00
2025-02-25T22:37:16+05:30,/item/last,21980976,42343544,59396096,9,1.5068ms,100.00,17284688.00
2025-02-25T22:37:16+05:30,/item/last,21995128,42357696,59396096,9,1.2922ms,100.00,17293232.00
2025-02-25T22:37:16+05:30,/item/last,22015064,42377632,59396096,9,10.9388ms,100.00,17307012.00
2025-02-25T22:37:16+05:30,/item/last,22028600,42391168,59396096,9,0s,100.00,17314568.00
2025-02-25T22:37:16+05:30,/item/last,22034968,42397536,59396096,9,33.8521ms,100.00,17316244.00
